mt_main_poi_id	mt_poi_cate3_name	poi_name	brand_name
4312724	其他火锅	绿叶台湾火锅（海悦天地店）	绿叶台湾火锅 
4313039	其他日本菜	万岁寿司（花都盛妆百货店）	万岁寿司·料理 
4313109	其他自助餐	花式瓜鲜锅	花式瓜鲜锅 
4313204	其他火锅	鸿福酒楼	鸿福酒楼 
4313794	其他火锅	涮涮鱼活鱼馆	涮涮鱼活鱼馆 
4313979	其他火锅	老广东一品鸡	老广东一品鸡 
5660183	其他烧烤	知味源烤鸭（富都小区店）	知味源烤鸭 
4314094	其他西餐	萨米特西式餐厅	萨米特意大利卷筒披萨 
4314324	其他西餐	爱尚西厨	爱尚西厨 
4774670	其他日本菜	渔寿司	渔寿司 
4315569	其他西餐	奶酪时光休闲主题餐厅（洪武北路店）	奶酪时光 
4315704	其他烧烤	老四烧烤（西大街店）	老四烧烤 
4315759	其他西餐	牛骑士欢乐餐厅 （银泰城店）	牛骑士欢乐餐厅 
4315984	其他西餐	肯尼罗杰斯（长风景畔店）	肯尼罗杰斯 
4316284	其他火锅	朝天门自助火锅（泰兴店）	朝天门 
4316854	其他火锅	香锅香火锅坊（南开店）	香锅香火锅坊 
4191539	其他自助餐	青牧香自助牛排	青牧香 
4317769	其他火锅	锅大侠时尚火锅	锅大侠火锅 
4318429	其他火锅	过锅瘾三汁焖锅（金汇店）	过锅瘾三汁焖锅 
4319174	其他烧烤	碳烤羊腿	碳烤羊腿 
4319429	其他火锅	京城一锅羊蝎子火锅	京城一锅羊蝎子火锅 
4319469	其他西餐	卡朋西餐（东晓南店）	卡朋西餐 
4320149	其他火锅	热情沸腾自选火锅	热情沸腾 
4320834	其他日本菜	鲜目录外带寿司（八中店）	鲜目录寿司 
4320944	其他火锅	顺德渔村	顺德渔村 
5406101	其他火锅	袁记串串香	袁记串串香 
41113695	其他烧烤	土耳其烤肉饭	土耳其烤肉饭 
2573301	其他火锅	肥牛皇宫	肥牛皇宫 
4324109	其他西餐	玛丽优客（宜家旺购物广场店）	玛丽优客 
4325064	其他火锅	由你坐煮火锅	由你坐煮 
6944641	其他西餐	味爱普思牛排馆（蓝色港湾店）	味爱普思牛排馆 
4326689	其他自助餐	华玺大酒店餐厅	华玺大酒店 
4326894	其他火锅	好德火锅	好德火锅 
4326929	其他火锅	鹿鼎记（时代东路店）	鹿鼎记 
4327394	其他火锅	和福顺养生焖锅（新华南路店）	和福顺养生焖锅 
4327459	其他西餐	泰迪厨房（光谷店）	泰迪厨房 
4327629	其他火锅	椒太郎烫菜馆（克拉玛依店）	椒太郎烫菜馆 
4328029	其他烧烤	老字号凤爪王烧烤（林茂路店）	凤爪王烧烤 
4328159	其他西餐	街角咖啡	街角咖啡 
4328754	其他火锅	东来顺饭庄（丁豪广场店）	东来顺饭庄 
4328819	其他火锅	香锅年代	香锅年代 
4331589	其他火锅	黔乡牧人（巴尔虎东路店）	黔乡牧人 
379774	其他火锅	老诚一锅（朝阳店）	老诚一锅羊蝎子火锅 
4331884	其他火锅	普赖斯火锅	普赖斯火锅 
4332144	其他火锅	一品锅食府	一品锅 
4332209	其他火锅	东亚火锅	东亚火锅 
4332309	其他烧烤	牛阵烧烤（泉城路店）	牛阵烧烤 
4332379	其他烧烤	兄弟烧烤	兄弟烧烤 
4333214	其他火锅	重庆谢记老火锅	重庆谢记老火锅 
4333799	其他日本菜	山葵家精致料理（西溪印象城店）	山葵家精致料理寿司吧 
4333969	其他火锅	重庆巴奴火锅（东壁西路店）	重庆巴奴火锅 
4334594	其他火锅	一品大虾	一品大虾 
41452050	其他自助餐	解馋牛排牛骨煲	解馋牛排牛骨煲 
4319592	其他烧烤	京成一品烤肉	京城一品 
4336154	其他烧烤	大地炭火烧肉	大地炭火烧肉 
4336224	其他火锅	山城往事老火锅	山城往事老火锅 
