mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
6208862	30	1917	藏书羊肉店（香城花园店）
6208872	184	2124	集街小镇
6208892	184	236	热炕头甲鱼馆
6208917	10	2082	惠美饺子（泛华广场店）
6208977	229	2003	钟楼彰德府家常菜
6209017	2165	1988	红宝石Coffee
6209022	10	2082	大东北水饺店
6209027	10	2109	李连贵熏肉大饼
6209037	174	234	银海蒙古饭庄
6209097	10	2099	沙县小吃（舜渔路店）
6209127	201	244	彤彤莱火锅（迁西店）
6209132	2166	35	养马岛活辽参海洋生态美食
6209162	231	231	文馨居
6209182	201	244	鑫瑞火锅
6209207	201	244	蜀豫你火锅超市
6209222	30	1911	百鲜楼
6209232	10	2109	蒸香鸭
6209257	2165	1979	上岛咖啡（东兴街店）
6209267	201	1933	咪呷时尚小火锅
6209292	303	303	天河酒家
6209327	315	383	汉民烧烤
6209337	10	2109	爱情麻辣砂锅居
6209352	2165	2110	舞茶道（岗头店）
6209362	2164	2045	金壁阁饭馆
6209387	2165	2113	云兰牛奶（相王路店）
6209412	10	2082	腊汁肉夹馍&家常水饺（师大店）
6209442	10	11	彭记回味面庄
6209467	175	2007	味滋王
6209477	10	2109	新泰炒鸡（昆仑店）
6209522	229	2003	王厨特色菜
6209532	235	235	凯翔饭店
6209552	201	241	红墙鱼头火锅
6209582	30	1911	万锦湖休闲鱼庄
6209612	201	242	老北京羊蝎子
6209637	249	1900	ITAN忆田
6209642	30	1904	天乐酒家
6209652	10	11	德克士（寺坡店）
6209662	229	2003	辣妹子川菜馆（步行街店）
6209667	10	183	卢六面馆
6209692	10	11	大宝快餐
6209732	229	2001	杨铭宇黄焖鸡和香锅（河西万达店）
